U-Nr;Kl,Le;Wst;Lehrer;Fach;Klasse(n);Studenten;Stud. Kurs;Schülergruppe
5;;3;;D;5C;0;;D_5C
9;1, 2;1;;D1;5C;0;;D1_5C
12;1, 2;1;;D2;5C;0;;D2_5C
15;;3;;E;5C;0;;E_5C
;;0;;E1;5C;0;;E1_5C
;;0;;E2;5C;0;;E2_5C
18;;3;;M;5C;0;;M_5C
;;0;;M1;5C;0;;M1_5C
;;0;;M2;5C;0;;M2_5C
187;1, 2;1;;KL;5C;0;;KL_5C
26;;2;;GL;5C;0;;GL_5C
32;;2;;Mu;5C;0;;Mu_5C
210;;4;;NW;5C;0;;NW_5C
46;;2;;OL;5C;0;;OL_5C
42;;3;;SpoS;5C;0;;SpoS_5C
36;;1;;BK;5C;0;;BK_5C
453;2, 3;2;;RelEv;5A,5C;0;;RelEv_5A5C
;;0;;RelRk;5A,5C;0;;RelRk_5A5C
;;0;;Eth;5A,5C;0;;Eth_5A5C
