number;type
230;COMPUTER
211;COMPUTER
212;COMPUTER
50;GYM
51;GYM
52;GYM
341;DEFAULT
342;DEFAULT
343;DEFAULT
344;DEFAULT
310;DEFAULT
311;DEFAULT
312;DEFAULT
313;DEFAULT
320;DEFAULT
321;DEFAULT
322;DEFAULT
323;DEFAULT
324;DEFAULT
325;DEFAULT
326;DEFAULT
327;DEFAULT
215;BIOLOGY
216;BIOLOGY
60;ART
61;ART
240;CHEMISTRY
241;CHEMISTRY
242;CHEMISTRY
231;PHYSICS
232;PHYSICS
30;MUSIC
31;MUSIC
10;WORK
301;KITCHEN
