firstName;lastName;shortName;subjectTypes;maxNumberOfLessons;type
57;57;57;RELIGION_EV|GERMAN|HISTORY|SOCIETY_SCIENCE|CLASS|OPEN_LEARNING;20;Default
58;58;58;GERMAN|HISTORY|SOCIETY_SCIENCE|CLASS|OPEN_LEARNING;20;Default
59;59;59;BIOLOGY|ES_ECOLOGY|SCIENCE|GEOGRAPHY|SOCIETY_SCIENCE|COMPUTER_SCIENCE|ES_COMPUTER_SCIENCE|CLASS|OPEN_LEARNING;24;Advanced
60;60;60;MATHS|PHYSICS|CLASS|OPEN_LEARNING;24;Advanced
61;61;61;MATHS|GERMAN|CLASS|OPEN_LEARNING;24;Advanced
62;62;62;COOKING|GERMAN|CLASS|OPEN_LEARNING;20;Default
63;63;63;PE|ES_PE|WORK|ES_WORK_THEORY|CLASS|OPEN_LEARNING;20;Default
64;64;64;ENGLISH|GEOGRAPHY|SOCIETY_SCIENCE|CLASS|OPEN_LEARNING;20;Default
65;65;65;GERMAN|PE|ES_PE|CLASS|OPEN_LEARNING;24;Advanced
66;66;66;MATHS|PE|ES_PE|CLASS|OPEN_LEARNING;20;Default
67;67;67;BIOLOGY|ES_ECOLOGY|SCIENCE|MATHS|COMPUTER_SCIENCE|ES_COMPUTER_SCIENCE|CLASS|OPEN_LEARNING;20;Default
68;68;68;LATIN|MUSIC|CLASS|OPEN_LEARNING;24;Advanced
69;69;69;ENGLISH|BIOLOGY|ES_ECOLOGY|SCIENCE|CLASS|OPEN_LEARNING;24;Advanced
